Unnamed: 0,Belo Horizonte,Imóveis residenciais,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Imóveis residenciais.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Imóveis residenciais.2,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Imóveis comerciais,Unnamed: 48,Unnamed: 49,Unnamed: 50,Imóveis comerciais.1,Unnamed: 52,Unnamed: 53,Unnamed: 54,Imóveis comerciais.2
,,Venda,,,,,,,,,,,,,,,,,,,,Locação,,,,,,,,,,,,,,,,,,,,Rentabilidade do aluguel (rental yield),,,,,Venda,,,,Locação,,,,Rentabilidade do aluguel (rental yield)
,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,Número-Índice,,,,,Var. mensal (%),,,,,Var. em 12 meses (%),,,,,Preço médio (R$/m²),,,,,(% - mensalizada),,,,,Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),Número-Índice,Var. mensal (%),Var. em 12 meses (%),Preço médio (R$/m²),(% - mensalizada)
,Data,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,1D,2D,3D,4D,Total,Total,Total,Total,Total,Total,Total,Total,Total
,2011-01-01 00:00:00,108.7092728602852,108.78479636691934,113.00529182842892,106.64785463993303,106.46754023320952,0.022170665236091996,-0.0016688662581164377,0.03729916877437573,0.019426958674892216,0.018464247553273878,0.1663566815141455,0.16476485180242295,0.20993916343386787,0.14716969125396595,0.14136818405258444,3979.450682983643,4732.0077304879205,4064.534400026904,3429.562631565401,4340.828030909872,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-02-01 00:00:00,111.59663702308247,111.34163995788106,117.02201911813796,109.79472815124902,107.53946900802951,0.02656042200289718,0.023503685040120497,0.03554459463551029,0.029507143129512872,0.01006812754828394,0.19141478218609076,0.17017791438550622,0.24733467045416324,0.17460564624464836,0.15413765989425965,4085.1465724634063,4843.227349792724,4209.006627657947,3530.7592270066298,4384.532041190238,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-03-01 00:00:00,114.86572853777817,111.34163995788106,120.4089728272186,114.56797414091139,109.05545906754553,0.02929381746530175,0,0.02894287532042493,0.0434742730369251,0.014097057326950648,0.22218580126594745,0.19214111802498968,0.2707908046353473,0.2236695061107825,0.16362485221825485,4204.816110476152,4843.227349792724,4330.827381705093,3684.256417669159,4446.341040726747,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-04-01 00:00:00,118.50944727733727,117.49447207459613,123.50127042997474,119.47874827448598,109.77428468212386,0.031721548158385016,0.05526083609907843,0.02568162098013608,0.042863410742819484,0.006591376724507727,0.2633472771590055,0.2898428697961679,0.29562205284957743,0.2833280410964152,0.16850835667138653,4338.1993872217745,5110.868142560195,4442.050049052439,3842.1762137815804,4475.648549571818,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-05-01 00:00:00,121.40668963269242,121.10413327504457,125.12010036359231,123.5243545037209,111.67257931119723,0.024447353539460762,0.03072196620583723,0.013107799846767153,0.03386046713462964,0.01729270780101466,0.28479853693247215,0.35397749615144547,0.2940937231533989,0.3174774405345244,0.1801510480965871,4444.256881365857,5267.884060918421,4500.275552004741,3972.2740951937876,4553.044632159598,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-06-01 00:00:00,123.26502298213818,122.72848081524637,125.07684260401358,125.94201363143073,114.89710936943615,0.015306680011356988,0.013412816691505215,-0.0003457298983379366,0.019572327557777193,0.02887485968469612,0.27931925712043504,0.3340040339418815,0.2739139379961608,0.3147721127895884,0.19172127258136373,4512.283699337196,5338.541224179621,4498.719672195653,4050.0207449341938,4684.513157051366,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-07-01 00:00:00,125.17455968345789,121.82606551513426,125.1248405136117,128.2257354347318,119.59528982134366,0.015491310147213722,-0.007352941176470641,0.0003837473716064913,0.018133121247246153,0.04089032768266724,0.2712600360318058,0.27020508166713064,0.2543579513954637,0.30932421301328716,0.21343437368517582,4582.184885595844,5299.287244590066,4500.446044045452,4123.460262155948,4876.064435076963,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-08-01 00:00:00,125.95934468314387,120.02123491491005,124.04437330689315,129.98177858159244,121.90397182289755,0.006269524747445037,-0.014814814814814762,-0.008635113557655312,0.013694935271043736,0.01930412146667888,0.2595934468314387,0.20021234914910058,0.24044373306893152,0.29981778581592433,0.2190397182289754,4610.913007133457,5220.779285410954,4461.584181395019,4179.9307835388945,4970.192575211041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-09-01 00:00:00,126.86255732115632,118.39688737470826,123.58011324066008,131.9796087867462,123.43348453097386,0.00717066796659274,-0.013533834586466165,-0.0037426934721533816,0.015370078998416642,0.012546865251432438,0.2615142053915871,0.16490252124114568,0.2370875417766234,0.30747532752180917,0.22913835354317502,4643.9763333304545,5150.1221221497535,4444.88583940385,4244.1766498898005,5032.552911725884,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,2011-10-01 00:00:00,127.70740309450494,114.661672411623,125.05237694593559,133.58313675356573,123.94484665156557,0.0066595360458474,-0.031548253048780533,0.011913435476535148,0.012149816032645713,0.004142815237978523,0.25610087196841413,0.1177315219509234,0.235431225290607,0.30706748127322303,0.22772310119118222,4674.903061118332,4987.644766208051,4497.839700052153,4295.742615396012,5053.401848614515,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
